ID Promocao;Nome Promocao;Percentual Desconto;Data Inicio;Data Termino;;
1;Sem desconto;0;01/01/2017;31/12/2020;;
2;Promoção de Primavera Americana;0,05;01/01/2017;31/03/2017;;
3;Promoção Volta às Aulas Americanas;0,1;01/07/2017;30/09/2017;;
4;Promoção Férias Escolares Americanas;0,2;01/11/2017;31/12/2017;;
5;Promoção Férias Asiáticas;0,15;01/11/2017;31/01/2018;;
6;Promoção de Primavera Asiática;0,2;01/02/2017;30/04/2017;;
7;Promoção de Verão Asiático;0,1;01/05/2017;30/06/2017;;
8;Promoção de Primavera Europeia;0,07;01/02/2017;30/04/2017;;
9;Promoção Volta às Aulas Europeias;0,1;01/08/2017;30/09/2017;;
10;Promoção de Férias Europeias;0,2;01/10/2017;31/01/2018;;
11;Promoção de Primavera Americana;0,05;01/01/2018;31/03/2018;;
12;Promoção Volta às Aulas Americanas;0,1;01/07/2018;30/09/2018;;
13;Promoção Férias Escolares Americanas;0,2;01/11/2018;31/12/2018;;
14;Promoção Férias Asiáticas;0,15;01/11/2018;31/01/2019;;
15;Promoção de Primavera Asiática;0,2;01/02/2018;30/04/2018;;
16;Promoção de Verão Asiático;0,1;01/05/2018;30/06/2018;;
17;Promoção de Primavera Europeia;0,07;01/02/2018;30/04/2018;;
18;Promoção Volta às Aulas Europeias;0,1;01/08/2018;30/09/2018;;
19;Promoção de Férias Europeias;0,2;01/10/2018;31/01/2019;;
20;Promoção de Primavera Americana;0,05;01/01/2019;31/03/2020;;
21;Promoção Volta às Aulas Americanas;0,1;01/07/2019;30/09/2019;;
22;Promoção Férias Escolares Americanas;0,2;01/11/2019;31/12/2019;;
23;Promoção Férias Asiáticas;0,15;01/11/2019;31/01/2020;;
24;Promoção de Primavera Asiática;0,2;01/02/2019;30/04/2019;;
25;Promoção de Verão Asiático;0,1;01/05/2019;30/06/2019;;
26;Promoção de Primavera Europeia;0,07;01/02/2019;30/04/2019;;
27;Promoção Volta às Aulas Europeias;0,1;01/08/2019;30/09/2019;;
28;Promoção de Férias Europeias;0,2;01/10/2019;31/01/2020;;
